Stage,Prefix,Slot1,Slot2,Slot3,Slot4,Slot5,Slot6
0,,the,of,and,to,a,i
1,a,at,as,am,and,are,all
1,b,by,be,but,been,back,buy
1,c,can,can't,city,center,car,check
1,d,do,don't,didn't,date,day,does
1,e,email,each,even,end,events,every
1,f,for,from,free,first,find,full
1,g,go,get,good,group,games,great
1,h,he,hi,have,home,has,his
1,i,in,is,it,if,i'm,it's
1,j,just,jobs,job,join,june,july
1,k,know,key,keep,known,kind,kinds
1,l,like,list,last,life,line,local
1,m,my,me,more,may,most,music
1,n,no,not,new,news,now,name
1,o,of,on,or,oh,ok,our
1,p,page,price,people,post,please,part
1,q,quick,quite,quiet,queen,queens,quote
1,r,rights,read,real,report,right,return
1,s,so,see,some,school,she,said
1,t,to,the,that,this,time,they
1,u,us,up,use,under,using,until
1,v,video,very,visit,videos,visits,view
1,w,we,with,was,what,which,won't
1,x,,,,,,
1,y,you,your,year,years,you're,yes
1,z,zero,zone,zones,zoning,,
2,aa,,,,,,
2,ab,about,above,able,ability,abilities,absolutely
2,ac,action,activities,activity,across,actions,actor
2,ad,add,address,added,adult,advice,adults
2,ae,,,,,,
2,af,after,afternoon,afraid,affect,affected,affecting
2,ag,again,age,ago,agree,agreed,ages
2,ah,ahead,,,,,
2,ai,air,airport,airports,airline,airlines,aim
2,aj,,,,,,
2,ak,,,,,,
2,al,also,always,already,along,although,allow
2,am,amazing,amount,among,amounts,amazed,ambition
2,an,any,another,anything,anyone,answer,animal
2,ao,,,,,,
2,ap,april,apple,apartments,apartment,apply,applied
2,aq,,,,,,
2,ar,area,art,article,around,articles,areas
2,as,ask,asked,asking,asks,assistant,assist
2,at,ate,attention,attack,attend,attacks,attended
2,au,august,author,authors,audience,authority,automatically
2,av,available,average,avoid,avoiding,,
2,aw,away,awesome,award,awards,awarded,awful
2,ax,,,,,,
2,ay,,,,,,
2,az,,,,,,
2,ba,baby,bad,bank,bar,band,ball
2,bb,,,,,,
2,bc,,,,,,
2,bd,,,,,,
2,be,best,before,because,between,better,below
2,bf,,,,,,
2,bg,,,,,,
2,bh,,,,,,
2,bi,big,bill,birthday,bird,bike,birds
2,bj,,,,,,
2,bk,,,,,,
2,bl,black,blog,blue,blogs,blues,blacks
2,bm,,,,,,
2,bn,,,,,,
2,bo,books,book,both,box,body,boy
2,bp,,,,,,
2,bq,,,,,,
2,br,brown,bring,break,breakfast,brother,breaking
2,bs,,,,,,
2,bt,,,,,,
2,bu,business,building,build,buying,businesses,bus
2,bv,,,,,,
2,bw,,,,,,
2,bx,,,,,,
2,by,bye,,,,,
2,bz,,,,,,
2,ca,call,card,cards,cars,called,camera
2,cb,,,,,,
2,cc,,,,,,
2,cd,cds,,,,,
2,ce,centers,cent,cents,centered,cell,certain
2,cf,,,,,,
2,cg,,,,,,
2,ch,change,children,changes,child,cheap,choose
2,ci,cities,circle,cigarette,cigarettes,circles,civil
2,cj,,,,,,
2,ck,,,,,,
2,cl,class,club,close,classes,clean,clubs
2,cm,,,,,,
2,cn,,,,,,
2,co,company,computer,couldn't,country,compare,college
2,cp,,,,,,
2,cq,,,,,,
2,cr,create,created,creating,cream,creates,credit
2,cs,,,,,,
2,ct,,,,,,
2,cu,customer,customers,culture,cut,cup,cuts
2,cv,,,,,,
2,cw,,,,,,
2,cx,,,,,,
2,cy,cycle,cycling,cycles,,,
2,cz,,,,,,
2,da,days,dating,dance,dark,dates,daughter
2,db,,,,,,
2,dc,,,,,,
